skill_id,skill_name,category,difficulty,estimated_learning_hours,description,aliases
1,Python Basics,Programming,Beginner,20.0,"Fundamental Python syntax, variables, data types, and basic operations","python,py,python3"
2,Data Structures,Programming,Intermediate,30.0,"Arrays, linked lists, stacks, queues, trees, and graphs","DS,data-structures"
3,Algorithms,Programming,Advanced,40.0,"Sorting, searching, dynamic programming, and algorithm analysis","algo,DSA"
4,Object-Oriented Programming,Programming,Intermediate,25.0,"Classes, inheritance, polymorphism, and encapsulation",
5,Functional Programming,Programming,Intermediate,20.0,"Pure functions, immutability, higher-order functions, and monads",
6,Concurrency & Multithreading,Programming,Advanced,30.0,"Threads, async/await, locks, race conditions, and parallel execution",
7,Design Patterns,Programming,Advanced,35.0,"GoF patterns: creational, structural, behavioral",
8,Testing & TDD,Programming,Intermediate,20.0,"Unit tests, mocking, test-driven development, and CI integration",
9,Version Control (Git),Programming,Beginner,10.0,"Branching, merging, rebasing, and collaborative workflows",
10,Command Line & Shell Scripting,Programming,Beginner,15.0,"Bash scripting, file operations, piping, and environment management",
11,Regular Expressions,Programming,Intermediate,10.0,"Pattern matching, groups, lookaheads, and substitution",
12,Debugging Techniques,Programming,Intermediate,15.0,"Breakpoints, profiling, logging, and error tracing",
13,Code Review Best Practices,Programming,Intermediate,10.0,"Readable code, constructive feedback, and review workflows",
14,API Design,Programming,Advanced,25.0,"REST, GraphQL, versioning, and documentation",
15,Database Programming,Programming,Intermediate,25.0,"SQL queries, ORM, transactions, and indexing",
16,Memory Management,Programming,Advanced,30.0,"Pointers, garbage collection, heap vs stack, and memory leaks",
17,Compiler Design,Programming,Advanced,50.0,"Lexing, parsing, AST, semantic analysis, and code generation",
18,Networking Fundamentals for Developers,Programming,Intermediate,20.0,"Sockets, HTTP, TCP/IP stack, and network debugging",
19,Software Architecture,Programming,Advanced,40.0,"Monolith vs microservices, layered architecture, and SOLID",
20,Performance Optimization,Programming,Advanced,30.0,"Profiling, caching, algorithmic complexity, and benchmarking",
21,Rust Programming,Programming,Advanced,40.0,"Ownership, borrowing, lifetimes, and safe concurrency",
22,Go Programming,Programming,Intermediate,25.0,"Goroutines, channels, interfaces, and the Go toolchain",
23,Java Programming,Programming,Intermediate,30.0,"JVM, generics, streams, and enterprise patterns",
24,C++ Programming,Programming,Advanced,40.0,"Pointers, templates, STL, and systems programming",
25,TypeScript,Programming,Intermediate,20.0,"Type system, interfaces, generics, and tooling",
26,Data Wrangling with Pandas,Data Science,Intermediate,25.0,"DataFrames, groupby, merging, and cleaning messy datasets",
27,Exploratory Data Analysis,Data Science,Intermediate,20.0,"Statistical summaries, distributions, outliers, and visualization",
28,Feature Engineering,Data Science,Advanced,30.0,"Encoding, scaling, interaction features, and feature selection",
29,Statistical Inference,Data Science,Intermediate,35.0,"Hypothesis testing, confidence intervals, and p-values",
30,Probability Theory,Data Science,Intermediate,30.0,"Random variables, distributions, Bayes theorem, and expectation",
31,Data Visualization,Data Science,Beginner,15.0,"Matplotlib, Seaborn, Plotly, and storytelling with data",
32,Time Series Analysis,Data Science,Advanced,35.0,"ARIMA, seasonal decomposition, and forecasting",
33,A/B Testing,Data Science,Intermediate,20.0,"Experimental design, sample size, and statistical significance",
34,SQL for Data Science,Data Science,Beginner,20.0,"Aggregations, window functions, subqueries, and optimization",
35,Data Pipeline Design,Data Science,Advanced,30.0,"ETL, batch vs streaming, orchestration, and data quality",
36,NoSQL Databases,Data Science,Intermediate,20.0,"Document stores, key-value, column-family, and graph databases",
37,Web Scraping,Data Science,Intermediate,15.0,"BeautifulSoup, Scrapy, handling JS-rendered pages, and rate limiting",
38,Data Ethics & Privacy,Data Science,Beginner,10.0,"Bias, fairness, GDPR, anonymization, and responsible data use",
39,Bayesian Statistics,Data Science,Advanced,40.0,"Prior/posterior, MCMC, hierarchical models, and PyMC",
40,Dimensionality Reduction,Data Science,Advanced,25.0,"PCA, t-SNE, UMAP, and manifold learning",
41,Recommender Systems,Data Science,Advanced,35.0,"Collaborative filtering, content-based, and matrix factorization",
42,Graph Analytics,Data Science,Advanced,30.0,"Network centrality, community detection, and graph databases",
43,Geospatial Analysis,Data Science,Intermediate,25.0,"GeoDataFrames, spatial joins, choropleth maps, and PostGIS",
44,Business Intelligence,Data Science,Beginner,20.0,"KPIs, dashboards, Tableau, and Power BI basics",
45,Data Storytelling,Data Science,Intermediate,15.0,"Narrative structure, audience targeting, and slide design",
46,Machine Learning Fundamentals,Artificial Intelligence,Intermediate,40.0,"Supervised, unsupervised, and reinforcement learning overview",
47,Linear & Logistic Regression,Artificial Intelligence,Beginner,20.0,"Regression analysis, loss functions, and gradient descent",
48,Decision Trees & Random Forests,Artificial Intelligence,Intermediate,25.0,"Splitting criteria, bagging, boosting, and feature importance",
49,Support Vector Machines,Artificial Intelligence,Intermediate,25.0,"Kernels, margin maximization, and SVM classification",
50,Neural Networks Basics,Artificial Intelligence,Intermediate,30.0,"Perceptrons, backpropagation, activation functions, and layers",
51,Deep Learning,Artificial Intelligence,Advanced,50.0,"CNNs, RNNs, LSTMs, and training large networks","DL,neural-networks"
52,Natural Language Processing,Artificial Intelligence,Advanced,45.0,"Tokenization, embeddings, transformers, and text classification",
53,Computer Vision,Artificial Intelligence,Advanced,45.0,"Image classification, object detection, segmentation, and GANs",
54,Reinforcement Learning,Artificial Intelligence,Advanced,50.0,"MDPs, Q-learning, policy gradients, and actor-critic methods",
55,Model Evaluation & Metrics,Artificial Intelligence,Intermediate,20.0,"Accuracy, precision, recall, ROC, and cross-validation",
56,Hyperparameter Tuning,Artificial Intelligence,Intermediate,20.0,"Grid search, random search, Bayesian optimization, and Optuna",
57,Transfer Learning,Artificial Intelligence,Advanced,30.0,"Fine-tuning pretrained models, domain adaptation, and few-shot",
58,Generative AI & LLMs,Artificial Intelligence,Advanced,40.0,"Prompt engineering, RAG, fine-tuning, and LLM evaluation",
59,MLOps,Artificial Intelligence,Advanced,35.0,"Model versioning, deployment, monitoring, and CI/CD for ML",
60,Explainable AI,Artificial Intelligence,Advanced,30.0,"SHAP, LIME, feature attribution, and model transparency",
61,Graph Neural Networks,Artificial Intelligence,Advanced,40.0,"Message passing, GCN, GAT, and molecular property prediction",
62,Federated Learning,Artificial Intelligence,Advanced,35.0,"Privacy-preserving ML, differential privacy, and aggregation",
63,AI Ethics & Fairness,Artificial Intelligence,Intermediate,20.0,"Bias auditing, fairness metrics, and responsible AI frameworks",
64,AutoML,Artificial Intelligence,Intermediate,20.0,"Neural architecture search, automated feature engineering, and H2O",
65,Causal Inference,Artificial Intelligence,Advanced,40.0,"Do-calculus, counterfactuals, instrumental variables, and DAGs",
66,HTML & CSS Fundamentals,Web Development,Beginner,15.0,"Semantic markup, box model, selectors, and basic layouts",
67,Responsive Web Design,Web Development,Beginner,15.0,"Media queries, flexbox, CSS grid, and mobile-first approach",
68,JavaScript Fundamentals,Web Development,Beginner,25.0,"DOM manipulation, events, closures, and ES6+ features",
69,React.js,Web Development,Intermediate,30.0,"Components, hooks, state management, and the virtual DOM",
70,Vue.js,Web Development,Intermediate,25.0,"Options API, composition API, reactivity, and Vue Router",
