resource_id,skill_id,resource_type,resource_title,description,difficulty,estimated_time,url,rating,popularity
1,1,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Beginner,26,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.5,4145
2,1,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.5,3505
3,2,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,13,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.9,4498
4,2,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,25,https://www.coursera.org/specializations/algorithms,3.8,3662
5,3,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,4,https://www.geeksforgeeks.org/,4.6,1313
6,3,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Advanced,32,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,4.5,3898
7,4,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,29,https://www.coursera.org/specializations/algorithms,4.8,3696
8,4,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,23,https://www.oreilly.com/library/view/clean-code/9780136083238/,3.6,2133
9,5,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,34,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.1,2035
10,5,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,20,https://cs50.harvard.edu/x/,3.5,2281
11,5,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Intermediate,29,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,3.8,4280
12,6,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Advanced,41,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.3,3979
13,6,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Advanced,34,https://www.coursera.org/specializations/algorithms,3.5,1969
14,6,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,6,https://www.geeksforgeeks.org/,3.8,2259
15,7,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Advanced,31,https://www.coursera.org/specializations/algorithms,4.5,3613
16,7,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,4,https://www.geeksforgeeks.org/,4.3,644
17,8,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,10,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.8,2350
18,8,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,25,https://cs50.harvard.edu/x/,4.4,1930
19,8,course,Coursera Algorithms Specialization (Stanford),A resource covering coursera algorithms specialization (stanford),Intermediate,36,https://www.coursera.org/specializations/algorithms,4.7,2235
20,9,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Beginner,23,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,3.5,2761
21,9,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,13,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.7,2629
22,10,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Beginner,37,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.5,4434
23,10,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Beginner,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.0,670
24,11,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,6,https://www.geeksforgeeks.org/,3.7,1143
25,11,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,35,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.9,1245
26,11,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Intermediate,29,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.0,1904
27,12,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,9,https://www.youtube.com/watch?v=zOjov-2OZ0E,3.6,3147
28,12,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Intermediate,6,https://www.geeksforgeeks.org/,3.6,1261
29,13,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Intermediate,28,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.8,1762
30,13,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Intermediate,49,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.4,536
31,14,course,MIT OpenCourseWare 6.001 Structure and Interpretation,A resource covering mit opencourseware 6.001 structure and interpretation,Advanced,48,https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/,4.7,3408
32,14,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,6,https://www.geeksforgeeks.org/,4.6,3349
33,15,video,CS50x Introduction to Computer Science (Harvard),A resource covering cs50x introduction to computer science (harvard),Intermediate,24,https://cs50.harvard.edu/x/,4.3,2720
34,15,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Intermediate,23,https://www.oreilly.com/library/view/clean-code/9780136083238/,5.0,4455
35,16,book,The Pragmatic Programmer by Hunt & Thomas,A resource covering the pragmatic programmer by hunt & thomas,Advanced,31,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,4.1,3826
36,16,article,GeeksforGeeks Programming Tutorials,A resource covering geeksforgeeks programming tutorials,Advanced,5,https://www.geeksforgeeks.org/,4.3,3416
37,16,book,Introduction to Algorithms (CLRS),A resource covering introduction to algorithms (clrs),Advanced,36,https://www.amazon.com/Introduction-Algorithms-CLRS/dp/0262046305,4.7,520
38,17,book,Clean Code by Robert C. Martin,A resource covering clean code by robert c. martin,Advanced,34,https://www.oreilly.com/library/view/clean-code/9780136083238/,4.4,1704
39,17,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Advanced,14,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.8,3451
40,18,video,freeCodeCamp Full Programming Bootcamp,A resource covering freecodecamp full programming bootcamp,Intermediate,9,https://www.youtube.com/watch?v=zOjov-2OZ0E,4.4,3200
